tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Lokhandwala Green Hills,RESALE,"in Lokhandwala Kandivali East, Mumbai",1 BHK Flat,₹95 Lac,"₹18,095 /sqft",525 sqft,(49 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Godrej Tranquil,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹90 Lac,"₹21,456 /sqft",419 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
On request,RESALE,"in Dahanukar Wadi, Kandivali West",1 BHK Flat,₹1.15 Cr,"₹26,744 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Alaziz CHS,RESALE,"in Dongri, Umerkhadi, Mumbai",1 BHK Flat,₹80 Lac,"₹24,242 /sqft",330 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
mahada complex,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹40 Lac,"₹9,756 /sqft",410 sqft,(38 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
HF Blossom Residency,RESALE,"in Vile Parle East, Mumbai",1 BHK Flat,₹1.4 Cr,"₹35,443 /sqft",395 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
panchvati 2 malad east mumbai,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹85 Lac,"₹18,888 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
panchvati 2,RESALE,"in Dindoshi, Malad East",1 BHK Flat,₹85 Lac,"₹18,888 /sqft",650 sqft,(60 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Mahalaxmi Tower,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹92 Lac,"₹16,727 /sqft",550 sqft,(51 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
vaibhav laxmi auragae residency,RESALE,"in Thakur complex, Kandivali East",1 BHK Flat,₹1.05 Cr,"₹22,975 /sqft",457 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sheth Avante,RESALE,"in Kanjurmarg west, Mumbai",1 BHK Flat,₹1.1 Cr,"₹25,056 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
Kanakia Zen World,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹1.14 Cr,"₹24,782 /sqft",765 sqft,(71 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Anand Heritage,RESALE,"in Dahisar West, Mumbai",1 BHK Flat,₹1.05 Cr,"₹25,609 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Romell Empress,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹95 Lac,"₹23,750 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Runwal Avenue,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹1 Cr,"₹23,584 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
Runwal Avenue,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹88 Lac,"₹23,890 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
yogi jills,RESALE,"in near cypress, Mumbai",1 BHK Flat,₹95 Lac,"₹21,590 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sainath CHS,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹95 Lac,"₹24,358 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.17 Cr,"₹21,272 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Vardhman Estate,RESALE,"in Parel, Mumbai",1 BHK Flat,₹2.5 Cr,"₹53,191 /sqft",587 sqft,(55 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Pratiksha Nagar Mono View,RESALE,"in Sion Koliwada, Mumbai",1 BHK Flat,₹1.23 Cr,"₹27,333 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
atharva pallavi chhaya chembur cenral mumbai,RESALE,"in Chembur, Mumbai",1 BHK Flat,₹86 Lac,"₹23,243 /sqft",370 sqft,(34 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Chandak Highspace,RESALE,"in Chembur East, Mumbai",1 BHK Flat,₹1.18 Cr,"₹29,500 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
HEMAL APARTMENT,RESALE,"in Veera Desai Road, Andheri West",1 BHK Flat,₹55 Lac,"₹21,153 /sqft",400 sqft,(37 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Chandiwala Pearl Heaven,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1.05 Cr,"₹26,315 /sqft",399 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Ellora Apartments,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹92 Lac,"₹24,533 /sqft",375 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
om shabri,RESALE,"in Vile Parle East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹34,615 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sainath Apartment,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹91 Lac,"₹22,750 /sqft",560 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Acme Amay,RESALE,"in Churi Wadi, Goregaon East",1 BHK Flat,₹1.25 Cr,"₹19,230 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Dosti Eastern Bay,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹2 Cr,"₹41,322 /sqft",484 sqft,(45 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sangeet Lok Darshan,RESALE,"in Raje Shivaji Nagar, Marol",1 BHK Flat,₹1.05 Cr,"₹23,863 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
maya kunj chs,RESALE,"in Tilak Nagar, Goregaon West",1 BHK Flat,₹1 Cr,"₹28,571 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
"1BHK Shri Mahali, Mahakali Nagar",RESALE,"in Anand Nagar, Santacruz East",1 BHK Flat,₹1.2 Cr,"₹24,000 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Under Construction
Omkar signet,RESALE,"in Kurar Village, Malad East",1 BHK Flat,₹1.1 Cr,"₹33,033 /sqft",333 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Shaad Residency,RESALE,"in Mazgaon, Mumbai",1 BHK Flat,₹1.5 Cr,"₹37,500 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shree Bhavani Arihant Heights,RESALE,"in Byculla, Mumbai",1 BHK Flat,₹1.19 Cr,"₹29,024 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sterling Heights,RESALE,"in Nagpada, Mumbai",1 BHK Flat,₹88 Lac,"₹29,333 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hubtown Akruti Orchid park,RESALE,"in Sakinaka, Mumbai",1 BHK Flat,₹1.18 Cr,"₹18,880 /sqft",625 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Shirke Parijat Hill View,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.05 Cr,"₹16,935 /sqft",620 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Mauli Pride,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹97 Lac,"₹24,871 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Spring Grove Uno,RESALE,"in Lokhandwala Kandivali East, Mumbai",1 BHK Flat,₹75 Lac,"₹25,000 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ruparel Vivanza,RESALE,"in Byculla, Mumbai",1 BHK Flat,₹1.56 Cr,"₹36,792 /sqft",424 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Rubberwala Fuego,RESALE,"in Grant Road, Mumbai",1 BHK Flat,₹1.8 Cr,"₹36,071 /sqft",499 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
raaj kamal parel mumbai,RESALE,"in Parel, Mumbai",1 BHK Flat,₹1.45 Cr,"₹34,117 /sqft",425 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Kanakia Rainforest,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.28 Cr,"₹29,425 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sher E Punjab CHS,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹98 Lac,"₹21,777 /sqft",600 sqft,(56 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Dosti Acres,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.5 Cr,"₹33,482 /sqft",625 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Vastu Shanti,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹30,000 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Satre Happynest,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹92 Lac,"₹20,627 /sqft",446 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Satre Happynest,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹98 Lac,"₹23,333 /sqft",420 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
White House CHS,RESALE,"in Lal Baug, Parel",1 BHK Flat,₹1.65 Cr,"₹42,307 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
On Request,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹78 Lac,"₹24,761 /sqft",315 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
On Request,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹92 Lac,"₹25,555 /sqft",360 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Sayba Pearl Hans Residency,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.1 Cr,"₹23,255 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sayba Pearl Hans Residency,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.05 Cr,"₹24,137 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sayadhri Apartment,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹90 Lac,"₹14,754 /sqft",610 sqft,(57 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Ashray Jaswanti Bliss,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.03 Cr,"₹31,987 /sqft",322 sqft,(30 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Urban crown,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.05 Cr,"₹23,333 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
shivalik bandra north,RESALE,"in Khar East, Mumbai",1 BHK Flat,₹85 Lac,"₹17,000 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(2  Baths),Under Construction
Piramal Revanta,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.31 Cr,"₹27,578 /sqft",475 sqft,(44 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sarkar residency,RESALE,"in Mazgaon, Mumbai",1 BHK Flat,₹2.35 Cr,"₹47,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.56 Cr,"₹22,285 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.58 Cr,"₹41,688 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.57 Cr,"₹41,424 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.65 Cr,"₹43,535 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.54 Cr,"₹40,633 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Greenfields B Heaven View CHS Ltd,RESALE,"in JVLR, Andheri East",1 BHK Flat,₹1.1 Cr,"₹20,676 /sqft",532 sqft,(49 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Godrej The Trees,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹1.92 Cr,"₹40,000 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
MHADA Bombay Dyeing Mill,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹43 Lac,"₹19,111 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
New Hind Mill,RESALE,"in Ghodapdeo, Byculla, Mumbai",1 BHK Flat,₹60 Lac,"₹26,666 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
New Hind Mill,RESALE,"in Ghodapdeo, Byculla, Mumbai",1 BHK Flat,₹58 Lac,"₹19,333 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
New Hind Mill,RESALE,"in Ghodapdeo, Byculla, Mumbai",1 BHK Flat,₹57 Lac,"₹19,000 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
New Hind Mill,RESALE,"in Ghodapdeo, Byculla, Mumbai",1 BHK Flat,₹62 Lac,"₹20,666 /sqft",300 sqft,(28 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Bombay dyeing,RESALE,"in Bhoiwada, Parel",1 BHK Flat,₹38 Lac,"₹16,888 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Bombay Dyeing,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹42 Lac,"₹18,666 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
MHADA Bombay Dyeing Mill,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹45 Lac,"₹20,000 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Bombay Dyeing,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹40 Lac,"₹17,777 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Jaydeep Prathamesh View Residency,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹87 Lac,"₹12,985 /sqft",670 sqft,(62 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Olympia Tower,RESALE,"in Byculla West, Mumbai",1 BHK Flat,₹1.28 Cr,"₹25,600 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Sun and Moon,RESALE,"in Rajendra Nagar, Borivali East",1 BHK Flat,₹1.25 Cr,"₹27,173 /sqft",460 sqft,(43 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
silver sand,RESALE,"in Piramal Nagar, Goregaon West",1 BHK Flat,₹1.15 Cr,"₹15,333 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
NG Complex,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.05 Cr,"₹16,406 /sqft",640 sqft,(59 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Vrishabh Heights,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1.14 Cr,"₹28,571 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Naman Premier,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.42 Cr,"₹33,100 /sqft",429 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Galaxy Heights Goregaon,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹1 Cr,"₹17,094 /sqft","1,000 sqft",(93 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Spring Grove Uno,RESALE,"in Lokhandwala Kandivali East, Mumbai",1 BHK Flat,₹79 Lac,"₹19,750 /sqft",400 sqft,(37 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Ashok Apartments,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹1.3 Cr,"₹23,008 /sqft",565 sqft,(52 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Sayba Icon,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹100 Lac,"₹22,831 /sqft",438 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Codename BKC,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹100 Lac,"₹27,100 /sqft",369 sqft,(34 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Radha Govind,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.3 Cr,"₹26,804 /sqft",485 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Raheja Nest Complex,RESALE,"in Powai, Mumbai",1 BHK Flat,₹1.35 Cr,"₹28,125 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.6 Cr,"₹32,989 /sqft",725 sqft,(67 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Ruparel Vivanza,RESALE,"in Byculla, Mumbai",1 BHK Flat,₹1.26 Cr,"₹29,716 /sqft",424 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Bhawani Nagar,RESALE,"in Marol, Mumbai",1 BHK Flat,₹90 Lac,"₹20,000 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Confidence Apartments,RESALE,"in Pali Hill, Mumbai",1 BHK Flat,₹3.25 Cr,"₹59,963 /sqft",542 sqft,(50 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Chaitanya Radha Madhav,RESALE,"in Siddharth Nagar, Goregaon, Goregaon West",1 BHK Flat,₹1.3 Cr,"₹29,885 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Doordarshan Society,RESALE,"in Gokuldham Colony, Goregaon East",1 BHK Flat,₹1.15 Cr,"₹24,468 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Satelite Garden CHS,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹95 Lac,"₹23,750 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Hari Om Complex,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹90 Lac,"₹20,000 /sqft",600 sqft,(56 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Deonar Gulmohar Chs,RESALE,"in Deonar, Chembur East",1 BHK Flat,₹1.4 Cr,"₹28,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
owner ship society,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹90 Lac,"₹27,692 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Pali Hill Apartment,RESALE,"in Bandra West, Mumbai",1 BHK Flat,₹3 Cr,"₹60,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Pushpa Bhavan,RESALE,"in Colaba, Mumbai",1 BHK Flat,₹2.25 Cr,"₹42,857 /sqft",630 sqft,(59 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
on request,RESALE,"in Daulat Nagar, Borivali East",1 BHK Flat,₹97 Lac,"₹24,871 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Viceroy,RESALE,"in Sindhi Society Chembur, Chembur East",1 BHK Flat,₹1.37 Cr,"₹30,786 /sqft",445 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
David Villa,RESALE,"in Dahisar West, Mumbai",1 BHK Flat,₹99 Lac,"₹19,603 /sqft",505 sqft,(47 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
The Dosti west county,RESALE,"in thane, Mumbai",1 BHK Flat,₹82 Lac,"₹17,903 /sqft",458 sqft,(43 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.56 Cr,"₹34,210 /sqft",456 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Green Field Building,RESALE,"in Mahim West, Mumbai",1 BHK Flat,₹2.2 Cr,"₹41,904 /sqft",525 sqft,(49 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Greenfield Chs,RESALE,"in Lower Parel, Mumbai",1 BHK Flat,₹1.75 Cr,"₹38,888 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Sky City,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹80 Lac,"₹25,078 /sqft",319 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
ALJ Residency,RESALE,"in Pali Hill, Mumbai",1 BHK Flat,₹3.25 Cr,"₹59,963 /sqft",542 sqft,(50 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sumangal Mumbai,RESALE,"in Vile Parle, Mumbai",1 BHK Flat,₹1.53 Cr,"₹30,600 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sapphire,RESALE,"in Mahim West, Mumbai",1 BHK Flat,₹1.72 Cr,"₹40,000 /sqft",480 sqft,(45 sqm),Super Built-up Area,1 BHK,(1  Bath),Under Construction
Nirman Park,RESALE,"in Sher E Punjab Colony, Andheri East",1 BHK Flat,₹1.17 Cr,"₹24,893 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Nirman Palace C&D CHSL,RESALE,"in Sher E Punjab Colony, Andheri East",1 BHK Flat,₹1.15 Cr,"₹23,958 /sqft",540 sqft,(50 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
FLMO,RESALE,"in Navy Colony, Malad West",1 BHK Flat,₹1.45 Cr,"₹29,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Hiranandani Gardens Cypress,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.4 Cr,"₹23,333 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sayba Heritage,RESALE,"in Nehru Nagar, Kanjurmarg East",1 BHK Flat,₹82.22 Lac,"₹22,526 /sqft",365 sqft,(34 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Avant Heritage 3,RESALE,"in JVLR, Andheri East",1 BHK Flat,₹1.1 Cr,"₹16,923 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Avant Heritage,RESALE,"in JVLR, Andheri East",1 BHK Flat,₹1.25 Cr,"₹30,413 /sqft",411 sqft,(38 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
K Raheja Maple Leaf CHS,RESALE,"in Raheja Vihar, Chandivali",1 BHK Flat,₹1.19 Cr,"₹17,000 /sqft",810 sqft,(75 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Avolon Paradise Soc,RESALE,"in Chincholi Bunder, Malad West",1 BHK Flat,₹1.39 Cr,"₹30,888 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Veena Nagar Society,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹89 Lac,"₹19,777 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Kamla Lucky,RESALE,"in Devki Nagar, Borivali West",1 BHK Flat,₹1.21 Cr,"₹27,000 /sqft",448 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Veena Nagar Society,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹92 Lac,"₹18,400 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
THE NEW CENTRE OF LIFE,RESALE,"in Sindhi Society Chembur, Chembur East",1 BHK Flat,₹1.11 Cr,"₹31,714 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Veena Nagar Society,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹95 Lac,"₹21,111 /sqft",480 sqft,(45 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Jai Shastri Nagar CHS,RESALE,"in Mulund Colony, Mulund West",1 BHK Flat,₹75 Lac,"₹16,666 /sqft",480 sqft,(45 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Valencia Building,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.21 Cr,"₹26,593 /sqft",455 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Godrej Urban Park,RESALE,"in Chandivali, Mumbai",1 BHK Flat,₹1.42 Cr,"₹31,485 /sqft",451 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.22 Cr,"₹30,500 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Manavsthal Height,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.25 Cr,"₹25,000 /sqft",500 sqft,(46 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Shreeji Building,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹1.35 Cr,"₹31,395 /sqft",430 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.22 Cr,"₹27,111 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Valencia Apartment,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.14 Cr,"₹25,333 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
