tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Jolly Jeevan CHS,RESALE,"in LIC Colony, Borivali West",1 BHK Flat,₹74.5 Lac,"₹20,244 /sqft",368 sqft,(34 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SD Deep Mandir,RESALE,"in Chembur, Mumbai",1 BHK Flat,₹1.1 Cr,"₹26,506 /sqft",615 sqft,(57 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Matoshree Park,RESALE,"in Bhandup Gaon, Mumbai",1 BHK Flat,₹87 Lac,"₹14,240 /sqft",625 sqft,(58 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Zoeb Aayesha Palace,RESALE,"in Parel, Mumbai",1 BHK Flat,₹1.14 Cr,"₹18,500 /sqft",615 sqft,(57 sqm),Super Built-up Area,1 BHK,(1  Bath),Under Construction
,,,,,,,,,,,
Sparkling Wings CHS,RESALE,"in Vaishali Nagar, Dahisar, Mumbai",1 BHK Flat,₹81 Lac,"₹19,471 /sqft",416 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Panditalay Building,RESALE,"in Girgaon, Mumbai",1 BHK Flat,₹1.2 Cr,"₹28,571 /sqft",420 sqft,(39 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Om Shivkrupa CHS,RESALE,"in Gandhi Nagar, Mulund",1 BHK Flat,₹99 Lac,"₹31,343 /sqft",335 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
greenfield co hsg soc,RESALE,"in Kapad Bazar, Mahim, Mumbai",1 BHK Flat,₹2.25 Cr,"₹42,857 /sqft",565 sqft,(52 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Loodha Encante Wadala East,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.7 Cr,"₹35,196 /sqft",676 sqft,(63 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Gaurabai CHS,RESALE,"in Barve Nagar, Ghatkopar",1 BHK Flat,₹75 Lac,"₹25,000 /sqft",400 sqft,(37 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
Deepak Daffodils,RESALE,"in Marol, Mumbai",1 BHK Flat,₹1.15 Cr,"₹30,263 /sqft",480 sqft,(45 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Narmada,RESALE,"in Rawalpada, Dahisar, Mumbai",1 BHK Flat,₹85 Lac,"₹15,454 /sqft",550 sqft,(51 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Susharda Edifice Celestial,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹99 Lac,"₹24,029 /sqft",595 sqft,(55 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Arkade Earth,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹1.37 Cr,"₹30,444 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Khushnuma apartment, agripada",RESALE,"in Agripada, Mumbai",1 BHK Flat,₹2 Cr,"₹31,250 /sqft",640 sqft,(59 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
Shreepati Castle,RESALE,"in Khetwadi, Girgaon, Mumbai",1 BHK Flat,₹1 Cr,"₹38,910 /sqft",257 sqft,(24 sqm),Super Built-up Area,1 BHK,(1  Bath),Under Construction
Sai Radha,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹99 Lac,"₹22,000 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
greenacre,RESALE,"in Pathan Wadi, Malad East",1 BHK Flat,₹79 Lac,"₹19,000 /sqft",414 sqft,(38 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
,,,,,,,,,,,
Ekta Brooklyn park,RESALE,"in virar west, Mumbai",1 BHK Flat,₹45 Lac,"₹11,842 /sqft",380 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
VARELLA MANSION,RESALE,"in Madonna Colony, Dahisar, Mumbai",1 BHK Flat,₹1.11 Cr,"₹25,000 /sqft",444 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
spring leaf,RESALE,"in Alika Nagar, Kandivali East",1 BHK Flat,₹95 Lac,"₹17,924 /sqft",530 sqft,(49 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Shiv Shakti CHS,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹75 Lac,"₹26,666 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sparkling Wings CHS,RESALE,"in Vaishali Nagar, Dahisar, Mumbai",1 BHK Flat,₹92 Lac,"₹22,009 /sqft",675 sqft,(63 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Lodha New Cuffe Parade,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.65 Cr,"₹33,742 /sqft",730 sqft,(68 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Thane vrindavan Society,RESALE,"in Thane west, Mumbai",1 BHK Flat,₹80 Lac,"₹15,686 /sqft",510 sqft,(47 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Amiraj Apartments,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹90 Lac,"₹24,128 /sqft",373 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
