tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
,,,,,,,,,,
,,,,,,,,,,
Marathon Embryo Bhandup West Central Mumbai,"in Bhandup West, Mumbai",2 BHK Flat,,₹1.35 Cr,"₹12,955 /sqft","1,042 sqft",(97 sqm),Built-up Area,2 BHK,Ready To Move
DPS Green,"in Ashok Nagar Kandivali, Kandivali East",2 BHK Flat,,₹2 Cr,"₹30,674 /sqft",652 sqft,(61 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Shreejee Mrugarchana CHS,"in Mulund West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.79 Cr,"₹26,917 /sqft",665 sqft,(62 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HDIL Premier Exotica,"in Kurla west, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.6 Cr,"₹16,304 /sqft",920 sqft,(85 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Clamar Building, Opp.Guru nanak Park","in Bandra West, Mumbai",2 BHK Flat,,₹4.5 Cr,"₹65,088 /sqft",845 sqft,(79 sqm),Carpet Area,2 BHK,Ready To Move
Shapoorji Pallonji Astron,"in Kandivali East, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.25 Cr,"₹35,657 /sqft","1,030 sqft",(96 sqm),Super Built-up Area,2 BHK,Ready To Move
Somnath Darshan Chs,"in Kastur Park, Borivali West",2 BHK Flat,,₹1.95 Cr,"₹30,660 /sqft",636 sqft,(59 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Crescent Sky Heights,"in Dahisar East, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.47 Cr,"₹22,546 /sqft",652 sqft,(61 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
Runwal Forests,"in Kanjurmarg west, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.25 Cr,"₹26,539 /sqft",471 sqft,(44 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Raj Corp Rameshwaram Apartment,"in Dahisar East, Mumbai",2 BHK Flat,,₹1.13 Cr,"₹13,294 /sqft",850 sqft,(79 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
malvani anjani chs ltd,"in Malad West, Mumbai",2 BHK Flat,,₹96 Lac,"₹8,114 /sqft","1,183 sqft",(110 sqm),Carpet Area,2 BHK,Ready To Move
