NAME,LOCATION,PRICE,BHK,STATUS
Comet Apartment,Wadala,121,1,Ready To Move
Valencia Apartment,Wadala,119,1,Ready To Move
Odyssey CHS Mumbai,Wadala,118,1,Ready To Move
Labh Sukesh,Mulund,115,1,Ready To Move
Lodha New Cuffe Parade,Wadala,160,1,Ready To Move
Kanakia Zen World,Kanjurmarg,119,1,Ready To Move
NG Complex,Marol,110,1,Ready To Move
Lodha New Cuffe Parade,Wadala,186,1,Ready To Move
Odyssey CHS Mumbai,Wadala,121,1,Ready To Move
Ajmera Bhakti Park Sector 1 and 2,Wadala,114,1,Ready To Move
Lodha New Cuffe Parade,Wadala,178,1,Ready To Move
NG Complex,Marol,110,1,Ready To Move
Lodha New Cuffe Parade,Wadala,168,1,Ready To Move
Lodha New Cuffe Parade,Wadala,155,1,Ready To Move
Ajmera Bhakti Park Sector 1 and 2,Wadala,100,1,Ready To Move
Lodha New Cuffe Parade,Wadala,160,1,Ready To Move
Lodha New Cuffe Parade,Wadala,175,1,Ready To Move
Lodha New Cuffe Parade,Wadala,170,1,Ready To Move
Sayba Residency,Kurla,99,1,Ready To Move
Haridwar 1 and 2 CHS,Malad,95,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,148,1,Ready To Move
Raviraj Royal,Kandivali,135,1,Ready To Move
Aristocrat Anantraj CHS,Kandivali,104,1,Ready To Move
Neelyog Aashiyana,Kandivali,100,1,Ready To Move
Shubh Shanti Complex,Kandivali,107,1,Ready To Move
Bhoomi Residency,Mahavir,113,1,Ready To Move
Lodha New Cuffe Parade,Wadala,225,1,Ready To Move
Gaytri Satsang Lakshminarayan Vishnu Shivam Chs,Thakur,103,1,Ready To Move
Ajmera Boulevard,Kanchpada,126,1,Ready To Move
Yash apartment Tardeo,Tardeo,275,1,Ready To Move
BUILDING,Andheri,165,1,Ready To Move
Rajkamal Pride,Railway,225,1,Ready To Move
Rajkamal Pride,Byculla,225,1,Ready To Move
Rajkamal Pride,Byculla,125,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,147,1,Ready To Move
Vaishno Heights,Malad,120,1,Ready To Move
Vaishno Heights,Malad,125,1,Ready To Move
Legend Apartments,Vakola,170,1,Ready To Move
nahar amrit shakti,Nahar,135,1,Ready To Move
Hill Crest,Andheri,119,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,155,1,Ready To Move
Odyssey CHS Ltd,Wadala,118,1,Ready To Move
Odyssey Chs Ltd,Wadala,135,1,Ready To Move
Odyssey CHS,Wadala,120,1,Ready To Move
Ajmera Bhakti Park Sector 1 and 2,Wadala,115,1,Ready To Move
Lodha New Cuffe Parade,Wadala,160,1,Ready To Move
Lodha New Cuffe Parade,Wadala,170,1,Ready To Move
Bhoomi Park Layout,Jankalyan,95,1,Ready To Move
Rashmi Kunj,Borivali,115,1,Ready To Move
Gurukrupa Marina Enclave,Malad,98,1,Ready To Move
Sadhu Hiranand CHS,Jankalyan,75,1,Ready To Move
Bhoomi Park,Jankalyan,98,1,Ready To Move
PCPL Serene,Jankalyan,104,1,Ready To Move
Asmitha Jyothi CHS,Malad,80,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,168,1,Ready To Move
Godrej Urban Park,Chandivali,135,1,Ready To Move
Laxmi Shrushti,Goregaon,115,1,Ready To Move
Gadgil Niwas,Vakola,155,1,Ready To Move
Bhoomi Classic,Malad,120,1,Ready To Move
silver,Ghatkopar,110,1,Ready To Move
Shreeji Apartments,Kandivali,120,1,Ready To Move
Jaykant Solitaire,Kalina,137,1,Ready To Move
Jaykant Solitaire,Kalina,137,1,Ready To Move
Choice,Ghatkopar,99,1,Ready To Move
Ashraya meghna,Goregaon,125,1,Ready To Move
Ekta Suprabhat,Siddharth,150,1,Ready To Move
Pranav Nirvana Residency,Malad,140,1,Ready To Move
Kanakia Country Park,Borivali,135,1,Ready To Move
Lodha New Cuffe Parade,Wadala,170,1,Ready To Move
Gaurav Shikhar Aakash,Thakur,70,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,160,1,Ready To Move
CASA DIVINE,Andheri,115,1,Ready To Move
Shree Ram Bhavan,Jankalyan,85,1,Ready To Move
Gurukrupa Marina Enclave,Malad,99,1,Ready To Move
Romell Orbis,Sher,135,1,Ready To Move
Lake Homes,Powai,145,1,Ready To Move
Ajmera greenfinity apartment,Wadala,116,1,Ready To Move
Ajmera Greenfinity,Wadala,117,1,Ready To Move
Ajmera Bhakti Park Sector 1 and 2,Wadala,120,1,Ready To Move
ajmera greenfinity,Wadala,115,1,Ready To Move
Happy Home CHS,Kandivali,120,1,Ready To Move
Divine Heights,Bandra,212,1,Ready To Move
Panom Park,Goraswadi,124,1,Ready To Move
Nakul Raj,Malad,115,1,Ready To Move
Omkar Signet,Malad,110,1,Ready To Move
Omkar Signet,Malad,115,1,Ready To Move
Omkar Signet,Malad,115,1,Ready To Move
Omkar Signet,Malad,110,1,Ready To Move
Lake Homes,Powai,140,1,Ready To Move
Kapil Bayview,Mazgaon,152,1,Ready To Move
Kapil Bayview,Mazgaon,135,1,Ready To Move
Shivoham Building,Grant,220,1,Ready To Move
Shivoham Building,Grant,250,1,Ready To Move
Shivoham Building,Grant,215,1,Ready To Move
Asmitha Jyothi CHS,Malad,80,1,Ready To Move
Serene CHS,Jankalyan,102,1,Ready To Move
Hi On Heights,Khar,60,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,155,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,156,1,Ready To Move
Lodha New Cuffe Parade,Wadala,225,1,Ready To Move
Godrej Urban Park,Chandivali,145,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,160,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,158,1,Ready To Move
Kanakia Silicon Valley.,Powai,160,1,Ready To Move
Gurukrupa Ghanshyam,Pant,110,1,Ready To Move
Lalani Velentine Apartment 1,Malad,115,1,Ready To Move
Lalani Velentine Apartment 1,Malad,125,1,Ready To Move
HDIL Dheeraj Upvan,Borivali,95,1,Ready To Move
Gundecha Sunflower,Kandivali,130,1,Ready To Move
DB Ozone,Dahisar,55,1,Ready To Move
MANIK APARTMENT,Dadar,220,1,Ready To Move
Romell Orbis,Sher,135,1,Ready To Move
Romell Orbis,Sher,134,1,Ready To Move
Impact Silicon Park,Jankalyan,85,1,Ready To Move
royal diamond park,Santacruz,163,1,Ready To Move
White City,Kandivali,115,1,Ready To Move
White City,Kandivali,120,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,165,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,150,1,Ready To Move
Godrej Urban Park,Chandivali,147,1,Ready To Move
Shardai Laxman Nagar CHS,Sector,86,1,Ready To Move
Abrol Signature,Malad,90.74,1,Ready To Move
Gurukrupa Marina Enclave,Malad,110,1,Ready To Move
Aishwarya Heights,Mulund,140,1,Ready To Move
Neelam Nagar,Neelam,83,1,Ready To Move
Estep Nagar,Dahisar,104,1,Ready To Move
Acme Complex,Malad,129,1,Ready To Move
Jaykant Solitaire,Kalina,137,1,Ready To Move
Kukreja Estate,Chembur,123,1,Ready To Move
Nirmaan Heights,Borivali,160,1,Ready To Move
White City,Kandivali,125,1,Ready To Move
Lokhandwala Green Hills,Lokhandwala,105,1,Ready To Move
Romell Orbis,Sher,130,1,Ready To Move
ranbir one life,Jogeshwari,130,1,Ready To Move
ranbir one life,Jogeshwari,125,1,Ready To Move
Takshila Bldg 29 CHS Ltd,Andheri,140,1,Ready To Move
Trans Apartment,Mahakali,130,1,Ready To Move
Romell Empress,IC,116,1,Ready To Move
Kanakia Rainforest,Marol,135,1,Ready To Move
Godrej Urban Park,Chandivali,135,1,Ready To Move
Palkhi Sara,Kandivali,115,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,148,1,Ready To Move
Lodha New Cuffe Parade,Wadala,170,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,170,1,Ready To Move
Arihant Darshan CHS,Asha,95,1,Ready To Move
Silver Cascade,Matunga,170,1,Ready To Move
Nahars Amrit Shakti,Chandivali,140,1,Ready To Move
Mahindra Lifespaces Roots,Kandivali,125,1,Ready To Move
Lokhandwala Spring Leaf,Lokhandwala,95,1,Ready To Move
Godrej Tranquil,Kandivali,100,1,Ready To Move
Regent Galaxy,Jankalyan,98,1,Ready To Move
Gurukrupa Marina Enclave,Malad,96,1,Ready To Move
Abrol Signature,Malad,95,1,Ready To Move
Mahindra Lifespaces Roots,Kandivali,130,1,Ready To Move
Surya Gokul Avenue,Kandivali,92,1,Ready To Move
Kanika Park 1 CHS,Kandivali,100,1,Ready To Move
Godrej Tranquil,Kandivali,106,1,Ready To Move
Mahindra Lifespaces Roots,Kandivali,124,1,Ready To Move
Sher E Punjab CHS,Andheri,95,1,Ready To Move
Lalani Velentine Apartment 1,Malad,120,1,Ready To Move
Omkar Signet,Malad,115,1,Ready To Move
Omkar Signet,Malad,116,1,Ready To Move
Green Fields CHS,Andheri,110,1,Ready To Move
Green Fields CHS,Andheri,115,1,Ready To Move
shivalay,Andheri,122,1,Ready To Move
Modi Park,Kandivali,117,1,Ready To Move
Ahimsa Marg,Sunder,120,1,Ready To Move
Nahars Amrit Shakti,Chandivali,140,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,165,1,Ready To Move
Godrej Urban Park,Chandivali,142,1,Ready To Move
Samaj Darshan,Kamala,112,1,Ready To Move
Rna NG Suncity Phase 3,Thakur,89,1,Ready To Move
Chandak Paloma,Goregaon,132,1,Ready To Move
Vaishno Heights,Malad,135,1,Ready To Move
Evershine Millennium Paradise,Thakur,107,1,Ready To Move
Rna NG Suncity Phase 3,Thakur,90,1,Ready To Move
on request,Vakola,160,1,Ready To Move
the heights,Marol,125,1,Ready To Move
on request,Kalina,145,1,Ready To Move
Kanakia Rainforest,Marol,150,1,Ready To Move
Kanakia Rainforest,Marol,134,1,Ready To Move
Romell Orbis,Sher,112,1,Ready To Move
Romell Orbis,Sher,111,1,Ready To Move
Romell Orbis,Sher,113,1,Ready To Move
Naman Premier,Marol,136,1,Ready To Move
Naman Premier,Marol,146,1,Ready To Move
on request,Marol,98,1,Ready To Move
Zoeb Aayesha Palace,Parel,121,1,Ready To Move
Laxmi Shrushti,Goregaon,150,1,Ready To Move
Gurukrupa Marina Enclave,Malad,105,1,Ready To Move
PCPL Serene Apartment,Jankalyan,96,1,Ready To Move
Raviraj Tarang,Mhatre,110,1,Ready To Move
Gurukrupa Marina Enclave,Malad,106,1,Ready To Move
BUILDING,Vile,175,1,Ready To Move
Bella vista,Borivali,150,1,Ready To Move
On Request,Dattapada,115,1,Ready To Move
Spring Grove Uno,Lokhandwala,75,1,Ready To Move
Mahindra Vivante,Andheri,170,1,Ready To Move
Rays Apartment,Bandra,350,1,Ready To Move
garden,Ghatkopar,105,1,Ready To Move
Godrej Urban Park,Chandivali,152,1,Ready To Move
Godrej Urban Park,Chandivali,149,1,Ready To Move
priyadarshin.,Ghatkopar,97,1,Ready To Move
Sai Leela,Daulat,95,1,Ready To Move
Siddhivinayak Annexe,Borivali,105,1,Ready To Move
Sheth Midori,Dahisar,100,1,Ready To Move
shraddha polaris,Tagore,92,1,Ready To Move
Sanghvi S3 Prosima Apartment,Tilak,131,1,Ready To Move
Sanghvi S3 prosima apartment,Tilak,128,1,Ready To Move
Omkar Signet,Malad,115,1,Ready To Move
Global residency,Jay,120,1,Ready To Move
Sai Chitra Apartment,Sector,102,1,Ready To Move
Apartment,Santacruz,130,1,Ready To Move
Prabhat Residency,Santacruz,140,1,Ready To Move
On Request,Sunder,145,1,Ready To Move
Indraprasth CHS,Kandivali,150,1,Ready To Move
Rna NG Suncity Phase 3,Thakur,91,1,Ready To Move
Shimpoli Road,Borivali,140,1,Ready To Move
green ocean,Jankalyan,130,1,Ready To Move
Royal Oasis,Jankalyan,110,1,Ready To Move
Royal Oasis,Jankalyan,110,1,Ready To Move
Romell Orbis,Sher,130,1,Ready To Move
Powai Rajanigandha,Hiranandani,110,1,Ready To Move
Godrej Urban Park,Chandivali,135,1,Ready To Move
Lodha New Cuffe Parade,Wadala,190,1,Ready To Move
Lodha New Cuffe Parade,Wadala,190,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,165,1,Ready To Move
Dosti Oro 67,Kandivali,120,1,Ready To Move
Godrej Urban Park,Chandivali,139,1,Ready To Move
Kanakia Silicon Valley,Powai,175,1,Ready To Move
vijay nagar,Vijay,110,1,Ready To Move
Godrej Urban Park,Chandivali,135,1,Ready To Move
Godrej Urban Park,Chandivali,138,1,Ready To Move
on request,Chembur,111,1,Ready To Move
