NAME,LOCATION,PRICE,BHK,STATUS
Corolla Jewel,Raje,110,1,Ready To Move
Autumn Grove,Lokhandwala,70,1,Ready To Move
Prabhat Residency,Golibar,138,1,Under Construction
Choice,Garodia,140,1,Ready To Move
shimpoli borivali west,Shimpoli,140,1,Ready To Move
Ultra Society,Mahim,170,1,Ready To Move
Sunderdham CHS,Borivali,115,1,Ready To Move
Vardhaman Heights,Borivali,146,1,Ready To Move
Navjyot chs,Dahanukar,110,1,Ready To Move
Anand CHS,Azad,118,1,Under Construction
Sushanku,Tilak,107,1,Under Construction
Neelkanth,Kastur,130,1,Ready To Move
Kaveri,Dattaguru,160,1,Under Construction
Kalpataru Vivant,JVLR,149,1,Under Construction
RNA NG Suncity Phase 2,Thakur,90,1,Ready To Move
Rna NG Suncity Phase 3,Thakur,85,1,Ready To Move
Sai baba Apartment,Jai,110,1,Ready To Move
Anand Mangal Chs,Khar,92,1,Ready To Move
Sheth Clarion,Kandivali,115,1,Ready To Move
roshan nagar,Borivali,140,1,Ready To Move
Red Wood Apartment,Wadala,92,1,Ready To Move
Manjari Arcade,Govandi,115,1,Ready To Move
Lodha New Cuffe Parade,Wadala,165,1,Ready To Move
Lodha Ncp,Wadala,165,1,Ready To Move
Bhushan Park View,Chikuwadi,110,1,Ready To Move
Manish Kaveri CHS,Manish,145,1,Ready To Move
Conwood Astoria,Umershetpada,125,1,Ready To Move
Riddhi Avenue,Borivali,110,1,Ready To Move
Prarthana Griha Rajkamal Park,Parel,135,1,Ready To Move
Kanakia The Discovery,Borivali,120,1,Ready To Move
Silicon Park,Jankalyan,82,1,Ready To Move
Silicon Park,Jankalyan,83,1,Ready To Move
SD Siennaa,Kandivali,120,1,Under Construction
highland,Marol,94,1,Ready To Move
DURGA CHAMBERS,Andheri,92,1,Ready To Move
KALPATARU'S VIVANT,JVLR,128,1,Under Construction
Atul Blue Fortuna,Marol,147,1,Ready To Move
Godrej Tranquil,Kandivali,95,1,Ready To Move
Gurukrupa Marina Enclave,Malad,114,1,Ready To Move
Rubberwala Fuego,Grant,150,1,Ready To Move
Mayuresh Residency Bhandup,Bhandup,104,1,Ready To Move
Sakhi Apartments,Chinchpada,55,1,Ready To Move
Sadguru Shri Sai Radha,Santacruz,118,1,Under Construction
Shree Siddhivinayak Towers,Orlem,75,1,Ready To Move
HF Blossom Residency,Vile,140,1,Under Construction
Greenfinity,Wadala,120,1,Ready To Move
Odyssey,Wadala,115,1,Ready To Move
Valancia,Wadala,110,1,Ready To Move
Odyssey,Wadala,120,1,Ready To Move
ajmera maximum,powai,72,1,Under Construction
Rudraksha by Raj Realty,Dahisar,68,1,Ready To Move
Bandra North Gulmohar Avenue,Bandra,88,1,Under Construction
Dynamix Avanya,Dahisar,100,1,Ready To Move
Mahindra Alcove,Chandivali,150,1,Under Construction
Mahindra Alcove,Chandivali,150,1,Under Construction
Godrej Urban Park,Chandivali,108,1,Under Construction
Hiranandani Regent Hill,Hiranandani,170,1,Ready To Move
Godrej Urban Park,Chandivali,145,1,Ready To Move
"Regent Hill, Hiranandani Powai",Powai,179,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,159,1,Ready To Move
Ruparel Vivanza,Byculla,135,1,Under Construction
paton tower,Alika,65,1,Under Construction
Vaibhavlaxmi Aurigae Residency,Thakur,105,1,Ready To Move
Vaibhavlaxmi Aurigae Residency,Thakur,100,1,Ready To Move
White City,Kandivali,132,1,Ready To Move
On Request,Ghatkopar,85,1,Under Construction
GBD Evana Heights,Parel,135,1,Under Construction
Charkop Rakesh CHSL,Charkop,85,1,Under Construction
Omkar Signet,Malad,210,1,Ready To Move
Chs,Matunga,225,1,Ready To Move
CHS LTD,Matunga,190,1,Ready To Move
Nathani Heights,Mumbai,250,1,Ready To Move
CHS Ltd,Dadar,210,1,Ready To Move
Dreams Complex,Bhandup,110,1,Ready To Move
Amardeep Anutham,Mulund,130,1,Ready To Move
Chs Ltd,Dadar,240,1,Under Construction
CHS Ltd,Matunga,225,1,Ready To Move
Srishti Oasis,New,100,1,Ready To Move
Lodha New Cuffe Parade,Wadala,175,1,Ready To Move
Kinjal Heaven,Tardeo,160,1,Ready To Move
Enclave Society,Ghatkopar,145,1,Ready To Move
Madonna Apartment,Borivali,140,1,Ready To Move
Sea Rock,IC,99,1,Under Construction
N G Royal Park,Kanjurmarg,83,1,Ready To Move
on request,Vikhroli,85,1,Ready To Move
vikhroli east,Tagore,86,1,Ready To Move
GS Pearl,Kannamwar,75.2,1,Under Construction
GS Pearl,Kannamwar,64.65,1,Under Construction
Quality Victoria,Ghatkopar,132,1,Ready To Move
Lodha New Cuffe Parade,Wadala,199,1,Ready To Move
Ajmera Greenfinity,Wadala,145,1,Ready To Move
Ajmera Greenfinity,Wadala,150,1,Ready To Move
Vaibhavlaxmi Eastsyde,Gaurishankar,85,1,Ready To Move
Rohan siddhant,Khetwadi,179,1,Under Construction
Saraswati chs,Devidas,126,1,Under Construction
Satellite Garden - Phase 2,Goregaon,117,1,Ready To Move
kandivali east Charkop,Sector,133,1,Ready To Move
Godrej Tranquil,Kandivali,110,1,Ready To Move
apartment kandivali east,Sector,133,1,Ready To Move
Redstone Saifee Park,Mustafa,175,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,180,1,Ready To Move
Lodha New Cuffe Parade,Wadala,200,1,Ready To Move
apartment,Sector,79,1,Under Construction
apartment,Kanchpada,143,1,Ready To Move
Malad West shankar lean,Malad,120,1,Under Construction
gautam budhha road malad,anchorpoint,109,1,Under Construction
spring field charkop,Charkop,85,1,Ready To Move
sayadri nagar chmebur,Sahyadri,99,1,Under Construction
magathane,Borivali,118,1,Under Construction
Gaurav Shikhar Aakash,Thakur,85,1,Ready To Move
Vaibhavlaxmi Aurigae Residency,Thakur,100,1,Ready To Move
Pratiksha Nagar Mono View,Sion,125,1,Ready To Move
Passcode Supersaver,New,119,1,Under Construction
goregaon west,Goregaon,125,1,Ready To Move
Sahajanand Athena,Goregaon,135,1,Ready To Move
Raghukul Society,Andheri,130,1,Ready To Move
Sheth Vasant Oasis,Gamdevi,145,1,Ready To Move
Lakshmi Solitaire,Vile,176,1,Under Construction
Vision Heights,Jogeshwari,115,1,Under Construction
Vision Heights,Jogeshwari,120,1,Ready To Move
Lake Side CHS,Chandivali,115,1,Ready To Move
AP Panchvati B,Powai,135,1,Ready To Move
DB Ozone,Dahisar,49,1,Ready To Move
DG Sheetal Usha and Nisha,Malad,93,1,Under Construction
Sheth Irene,Malad,110,1,Under Construction
Dubhash mansion,Cusrow,150,1,Ready To Move
Matunga West 89,Near,195,1,Ready To Move
Ajmera JVLR,Sonapur,69.99,1,Under Construction
Hiranandani Regent Hill,Hiranandani,165,1,Ready To Move
ajmera greenfinity,Wadala,118,1,Ready To Move
Valencia Apartment,Wadala,120,1,Ready To Move
Valencia Apartment,Wadala,111,1,Ready To Move
Greenfinity apartment,Wadala,115,1,Ready To Move
Odyssey CHS Mumbai,Wadala,130,1,Ready To Move
Ajmera Bhakti Park Sector 1 and 2,Wadala,110,1,Ready To Move
Comet Apartment,Wadala,115,1,Ready To Move
Valencia Apartment,Wadala,117,1,Ready To Move
Dosti Acres,Wadala,135,1,Ready To Move
Regent Hill,Hiranandani,165,1,Ready To Move
Hiranandani Sorrento,Hiranandani,165,1,Under Construction
Srishti Harmony 3,Powai,135,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,150,1,Ready To Move
Srishti Harmony 3,Powai,135,1,Ready To Move
skyline,Dadar,225,1,Ready To Move
Sheth Irene,Malad,105,1,Under Construction
Runwal Forests,Kanjurmarg,179,1,Under Construction
Runwal Forests,Kanjurmarg,135,1,Under Construction
Surana Regency,Worli,250,1,Ready To Move
Natasha Atlantis,Vikhroli,72.35,1,Under Construction
Violet Valley,Bandra,400,1,Ready To Move
Habib Villa,Mazgaon,130,1,Ready To Move
Neelam Solstice,Ghatkopar,120,1,Ready To Move
Reliance Triveni CHS,Chembur,95,1,Ready To Move
Godrej Tranquil,Lokhandwala,95,1,Ready To Move
Godrej Tranquil,Lokhandwala,90,1,Ready To Move
Alica Nagar CHS,Lokhandwala,95,1,Ready To Move
Gurukrupa Marina Enclave,Malad,111,1,Ready To Move
Karamvir Saraswati,Cosmos,104,1,Under Construction
paton tower,Akurli,75,1,Under Construction
Neighbourhoods CHS,Lokhandwala,90,1,Ready To Move
Godrej Tranquil,Lokhandwala,85,1,Ready To Move
MICL,Dahisar,92,1,Ready To Move
Nakul Raj,Malad,115,1,Ready To Move
Vraj Anko Darshan,Dahanukar,115,1,Ready To Move
Ruparel Celestial,Mulund,100,1,Under Construction
Phancode 80,Mulund,84,1,Ready To Move
Mahalaxmi Heights,Jacob,250,1,Ready To Move
CHS Ltd,Lal,200,1,Ready To Move
Enterprise Apartments,Tardeo,260,1,Ready To Move
Sunbeam Building,Peddar,315,1,Ready To Move
Kavita CHS,Khar,258,1,Ready To Move
Western Court Building,Marine,500,1,Ready To Move
Mahaveer Darshan,Lower,170,1,Ready To Move
Neumec Elegance,Lower,180,1,Ready To Move
Chembur High,Chembur,115,1,Ready To Move
N.M. Joshi NX4,Mulund,118,1,Ready To Move
boraivali w Bhat len,Sai,118,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,155,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,158,1,Ready To Move
Srishti Complex,Tunga,110,1,Ready To Move
Teenmurty Summit,Borivali,96,1,Ready To Move
North Star,Govandi,75,1,Under Construction
Lake Florence,Powai,150,1,Ready To Move
Bhavani Nagar CHS,Marol,112,1,Ready To Move
Kanakia Sevens,Marol,128,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,178,1,Ready To Move
Kanakia Seven,Andheri,135,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,160,1,Ready To Move
Lakeside CHS,Raheja,119,1,Ready To Move
Veena Nagar Society,Mulund,90,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,153,1,Ready To Move
Sugee Shubhada,Shivaji,260,1,Ready To Move
Bhavya elite,GuruTeg,110,1,Ready To Move
GULMOHAR ROAD,Juhu,300,1,Ready To Move
Kapil Bayview,Mazgaon,160,1,Ready To Move
Sumer Burhani Park,Mazgaon,245,1,Ready To Move
Sarah Continental Heights,Mazgaon,210,1,Ready To Move
Ruparel Vivanza,Ghodapdeo,155,1,Under Construction
SAIFEE PARK,Mazgaon,165,1,Ready To Move
Lodha NCP,Wadala,190,1,Ready To Move
Halima Apartment,Nagpada,175,1,Ready To Move
MUFFADAL PARK,Mazgaon,225,1,Under Construction
Meenakshi Apartment,Mazgaon,210,1,Ready To Move
Jasmine Apartments,Mazgaon,230,1,Ready To Move
Vaishali Apartment,Mazgaon,175,1,Ready To Move
Castle Dudhwala Aquagem,Mazgaon,145,1,Ready To Move
New Sai Niketan,Mazgaon,190,1,Ready To Move
Piramal Revanta,Mulund,125,1,Ready To Move
Arkade Earth,Kanjurmarg,135,1,Ready To Move
Shraddha Autumn Park,Kanjurmarg,90,1,Ready To Move
Adi Darsshan,Lower,165,1,Under Construction
Good Relations 2,Deonar,100,1,Ready To Move
Empire,Vishveshwar,135,1,Ready To Move
Conwood Astoria,Gokuldham,150,1,Ready To Move
Ashok Odyssey,Ghatkopar,115,1,Ready To Move
Ashray Jaswanti Woods,Mulund,115,1,Ready To Move
Chandak Nishchay,Dahisar,83,1,Ready To Move
SD Siennaa,Kandivali,105,1,Under Construction
SD Siennaa,Kandivali,100,1,Under Construction
Aikya Roots,Vikhroli,120,1,Under Construction
HDIL Dheeraj Upvan,Borivali,95,1,Ready To Move
SOLITAIRE,Vile,200,1,Under Construction
Sai,Byculla,42,1,Ready To Move
Sai,Byculla,80,1,Ready To Move
MHADA Bombay Dyeing Mill,Wadala,42,1,Ready To Move
Manik Apartments,Dadar,220,1,Ready To Move
SV RESDIENCES,Matunga,208,1,Under Construction
SW RESIDENCES,Matunga,199,1,Ready To Move
Pratiksha Nagar Mono View,Sion,150,1,Ready To Move
Pratiksha Nagar Mono View,Sion,120,1,Ready To Move
Request,Warden,275,1,Ready To Move
Request,Colaba,260,1,Ready To Move
Krishnakunju CHS Chembur (E),Siddharth,85,1,Ready To Move
Heritage Janki,Postal,126,1,Under Construction
On Request,Matunga,239,1,Under Construction
Adityaraj Anchor,Vikhroli,69.5,1,Under Construction
Lodha New Cuffe Parade,Wadala,171,1,Ready To Move
amrut manthan chs,Vakola,70,1,Ready To Move
Gauri Excellency,Charkop,130,1,Under Construction
Advent Neel Residency,Dahisar,130,1,Ready To Move
White City,Kandivali,115,1,Ready To Move
MK Gabino,Amboli,150,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,150,1,Ready To Move
Zara Horizon,Matunga,200,1,Ready To Move
roswalt zaiden,Oshiwara,118,1,Ready To Move
jogeshwari oshiwara,Oshiwara,94,1,Under Construction
Kshitij Annapurna Sadan Chs,Dadar,200,1,Ready To Move
Sidheshwar Society,Mahim,100,1,Ready To Move
Sidheshwar Society,Mahim,100,1,Ready To Move
Kings Corner,Mahim,160,1,Ready To Move
Lokmanya nagar,Dadar,200,1,Ready To Move
Zara,Mahim,250,1,Ready To Move
Marshyll,Mahim,200,1,Ready To Move
White City,Kandivali,125,1,Ready To Move
Sai Raj Garden,Irani,111,1,Ready To Move
Neelyog Aashiyana,Patel,125,1,Ready To Move
Hill Crest 2,Raheja,120,1,Ready To Move
Sayba Residency,Kurla,110,1,Ready To Move
Raghav Amara,Kurla,108,1,Ready To Move
DB Ozone,Dahisar,50.9,1,Ready To Move
Takshila Bldg 29 CHS Ltd,Andheri,150,1,Ready To Move
DB Ozone,Dahisar,49.9,1,Ready To Move
DB Ozone,Dahisar,49.9,1,Ready To Move
Hilton tower,Sher,105,1,Ready To Move
Bhavani Nagar CHS,Marol,110,1,Ready To Move
Nahars Amarayllis,Chandivali,115,1,Under Construction
crescent Silverwoods Chandivali Powai MUMBAI,Raheja,110,1,Under Construction
Hill Crest 2,Raheja,118,1,Ready To Move
bindra one complex,Mahakali,89.28,1,Under Construction
vrishabh heights,Kadam,103,1,Under Construction
STARWING IMRERIAL,Marol,100,1,Under Construction
CHS LTD,Dadar,270,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,153,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,154,1,Ready To Move
Lake Florence,Powai,145,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,150,1,Ready To Move
Hiranandani Zen Maple,Hiranandani,150,1,Ready To Move
Naman Premier,Marol,125,1,Ready To Move
Kukreja Sai Deep,Chembur,110,1,Ready To Move
Roswalt Heights,Chembur,135,1,Ready To Move
Kukreja Sai Deep,Chembur,85,1,Ready To Move
Trishul Apartments,Sindhi,110,1,Ready To Move
Lalit Callista,Sindhi,130,1,Ready To Move
Emgee Greens,Wadala,127,1,Ready To Move
Satyam Spring CHS,Chembur,170,1,Ready To Move
Pardis CVII Apartments,Collector,110,1,Ready To Move
Godrej Central,Chembur,130,1,Ready To Move
Sai Simran Tower,Chembur,120,1,Ready To Move
Lalit Edifice,Sindhi,90,1,Ready To Move
Kukreja Sai Deep,Chembur,110,1,Ready To Move
saideep,Sindhi,85,1,Ready To Move
Lodha New Cuffe Parade,Wadala,180,1,Ready To Move
RNA Jayalaxmi,Subhash,90,1,Ready To Move
seith heigts,RCF,125,1,Ready To Move
Viceroy,Sindhi,130,1,Ready To Move
Sunder Apartments,Chembur,160,1,Ready To Move
on request,Sindhi,110,1,Ready To Move
Tridhaatu Morya,Chembur,140,1,Ready To Move
Saideep Cooperative Housing Society,Chembur,85,1,Ready To Move
Emgee Greens,Wadala,142,1,Ready To Move
Royal Nest,Jankalyan,63,1,Ready To Move
Abhilasha Chsl,Charkop,79,1,Under Construction
Springfield CHS,Charkop,85,1,Ready To Move
Shardai Laxman Nagar CHS,Sector,88,1,Ready To Move
Royal Oasis,Jankalyan,109,1,Ready To Move
Bhoomi Park,Malad,99,1,Ready To Move
Starwing Kaatyayni Heights,Andheri,155,1,Ready To Move
Gurukrupa Marina Enclave,Malad,106,1,Ready To Move
Marina Enclave,Jankalyan,119,1,Ready To Move
Abrol Signature,Jankalyan,103,1,Ready To Move
Navrang oasis,Jankalyan,104,1,Under Construction
Navrang oasis,Best,105,1,Under Construction
PCPL Serene Apartment,Malad,110,1,Ready To Move
Marina Enclave,Jankalyan,104,1,Ready To Move
Marina Enclave,Jankalyan,105,1,Ready To Move
Marina Enclave,Jankalyan,122,1,Ready To Move
Sundew Swastik Park,Bhandup,90,1,Ready To Move
trilok park,Ghanshyam,110,1,Ready To Move
dem cygnus,Sector,115,1,Under Construction
Dosti Oro 67,Sahyadri,112,1,Ready To Move
Godrej Urban Park,Chandivali,105,1,Under Construction
Balaji Accolade,Mulund,105,1,Ready To Move
Kateeleshwari Apartment,Mulund,100,1,Ready To Move
Runwal Forests,Kanjurmarg,119,1,Under Construction
Amardeep Anutham,Mulund,110,1,Ready To Move
Sethia Imperial Avenue,Malad,99,1,Ready To Move
mager chs,Dahisar,87,1,Ready To Move
The Baya Central,Lower,150,1,Ready To Move
Shambhavi,Dombivli,40,1,Ready To Move
"SHRADDHA TOWER, TAGORE NAGAR",Vikhroli,90,1,Ready To Move
Metro Giriraj Apartments,Mulund,85,1,Ready To Move
Akansha chs Dahisar w,Dahisar,79.5,1,Ready To Move
Chandiwala Pearl Heaven,Andheri,97,1,Under Construction
paradigm Alaya,paradigm,112,1,Under Construction
Lodha NCP,Wadala,165,1,Ready To Move
Lodha Gardenia,Wadala,180,1,Ready To Move
Bhavya Elite,Wadala,115,1,Ready To Move
Bhavya Elite,Wadala,105,1,Ready To Move
Daulat nager sangam chs,Borivali,115,1,Ready To Move
Marathon Neoskies,Bhandup,51,1,Ready To Move
Kings Anand Dham,Nahur,84,1,Ready To Move
Shraddha Evoque,Bhandup,62,1,Ready To Move
Sky City,Bhandup,67.5,1,Ready To Move
Sky City,Bhandup,67,1,Ready To Move
Kings Anand Dham,Nahur,75,1,Ready To Move
Kings Anand Dham,Nahur,85,1,Ready To Move
Kings Heights,Nahur,73.51,1,Ready To Move
Kings Heights,Nahur,79,1,Ready To Move
Sky City,Bhandup,75,1,Ready To Move
Shraddha Evoque,Bhandup,60,1,Ready To Move
Empire Tower,Goregaon,121,1,Ready To Move
Shraddha Evoque,Bhandup,60,1,Ready To Move
Sky City,Bhandup,73.5,1,Ready To Move
Sky City,Bhandup,74,1,Ready To Move
Sky City,Bhandup,75.78,1,Ready To Move
Sky City,Bhandup,75,1,Ready To Move
Sky City,Bhandup,75,1,Ready To Move
Prem Vishnu,Mulund,110,1,Ready To Move
mulund east,Hanuman,110,1,Ready To Move
Pushpa Bhavan,Colaba,265,1,Ready To Move
Poonam Darshan,Jogeshwari,10900%,1,Ready To Move
Kings Heights,Nahur,85,1,Ready To Move
Marvel Gold Colosseum,Bhandup,82,1,Ready To Move
Marvel Gold Colosseum,Bhandup,85,1,Ready To Move
Kings Heights,Nahur,88.89,1,Ready To Move
Marvel Gold Colosseum,Bhandup,82,1,Ready To Move
Marvel Gold,Bhandup,94,1,Under Construction
Rajanigandha CHS,Matunga,200,1,Ready To Move
Aadi Allure,Kanjurmarg,800,1,Ready To Move
Manan Shree Sai Usha Complex,Bhandup,70,1,Ready To Move
Manan Shree Sai Usha Complex,Bhandup,75,1,Ready To Move
Neelam Nagar Chs,Mulund,100,1,Ready To Move
Sudhanshu Imperia,Shivaji,65,1,Ready To Move
Kings Heights,Nahur,85,1,Ready To Move
Sky City,Bhandup,69,1,Ready To Move
Sky City,Bhandup,75,1,Ready To Move
Anant Ashirwad,Bhandup,80,1,Ready To Move
Manan Shree Sai Usha Complex,Bhandup,75,1,Ready To Move
Skicon Skicity,Bhandup,65,1,Ready To Move
Skicon Skicity,Bhandup,69,1,Ready To Move
Manan Shree Sai Usha Complex,Bhandup,90,1,Ready To Move
Sky City,Bhandup,70,1,Ready To Move
Kismat Building,Kemps,250,1,Ready To Move
Godrej The Trees,Vikhroli,195,1,Ready To Move
Regal by Ashford,Mulund,99.55,1,Under Construction
MS H2O,Sundar,160,1,Ready To Move
Khaparidev CHS,Parel,135,1,Ready To Move
Merwanji CHSL,Parel,155,1,Ready To Move
Linking rd,Khar,275,1,Ready To Move
off Carter rd,Bandra,400,1,Ready To Move
off Carter Rd,Bandra,190,1,Ready To Move
karmvir phase 1,Borivali,126,1,Under Construction
Ajmera serene,Dadar,150,1,Ready To Move
Nandivardhan Parkway,Matunga,210,1,Under Construction
Matrubhoomi Panchratna NX,Dadar,180,1,Under Construction
Sidhivinayak Opulence,Deonar,150,1,Ready To Move
Ayodhya Saffron Residency,Nehru,110,1,Ready To Move
Nandivardhan Parkway,Hindu,220,1,Under Construction
Chembur Collector Colony,Collector,110,1,Ready To Move
Godrej Urban Park,Chandivali,135,1,Under Construction
Bonaventure Tower,Dahisar,125,1,Ready To Move
Gokul Tower,Kandivali,95,1,Ready To Move
Sheth Clarion,Kandivali,112,1,Ready To Move
Sneha Society,Malad,112,1,Ready To Move
Pratik Apartment,Asha,90,1,Ready To Move
Rna NG Suncity Phase,Thakur,83,1,Ready To Move
Samrat Apartments,Jankalyan,87,1,Under Construction
Deshmukh Residency Windsor,Borivali,103,1,Ready To Move
Yogsiddhi Sumukh Hills,Kandivali,97,1,Ready To Move
Kanakia Sanskruti,Kandivali,95,1,Ready To Move
New Gokul Plaza CHS Mumbai,Kandivali,82.5,1,Ready To Move
"shakti sadan chs,",Bandra,133,1,Ready To Move
rajkamal park,Parel,186,1,Ready To Move
SETHIA GRANDEUR,Bandra,191,1,Ready To Move
Mount Preeti CHS,Bandra,106,1,Ready To Move
MICL AARADHYA,Dahisar,106,1,Ready To Move
Haware Indraprastha Regency,Goregaon,106,1,Ready To Move
Suparshva iternia,Andheri,106,1,Ready To Move
garden view,Malabar,291,1,Ready To Move
Orchid Metropolis,Kurla,122,1,Ready To Move
prestige chs,Matunga,212,1,Ready To Move
Santa Maria Chs,Andheri,106,1,Ready To Move
36 Avenue,Goregaon,138,1,Ready To Move
Aaliya,Andheri,106,1,Ready To Move
MsH20,Santacruz,175,1,Ready To Move
Pooja Apartment,Bandra,276,1,Ready To Move
Shree Bhavani Arihant Heights,Byculla,118,1,Ready To Move
ON REQUEST,Ghatkopar,80,1,Ready To Move
ON REQUEST,Ghatkopar,82,1,Ready To Move
Nutan Madhuban Apartments,Worli,262,1,Ready To Move
Shanti Society,Matunga,381,1,Ready To Move
Siddhachal chs,Sion,160,1,Ready To Move
Devanand Builing,Parel,175,1,Ready To Move
Ekdant CHS,Dadar,223,1,Ready To Move
Vikas Towers,Andheri,138,1,Ready To Move
Dev Ashish CHS,Bhandup,127,1,Ready To Move
Hill Post Building,Bandra,265,1,Ready To Move
Nutan Madhuban,Worli,291,1,Ready To Move
Halkara Complex,Dahisar,97.52,1,Ready To Move
Classic appartment,Malad,133,1,Ready To Move
Hrishikesh Apartment,Prabhadevi,270,1,Ready To Move
Kiran Kunj Apartament,Kandivali,79.5,1,Ready To Move
omkar classic,Andheri,636,1,Ready To Move
Venus CHS,Santacruz,191,1,Ready To Move
Ratnamani Towers,Dadar,143,1,Ready To Move
ariana residancy,Devipada,95,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,185,1,Ready To Move
Surya Gokul Garden,Kandivali,82,1,Ready To Move
Lake Florence,Powai,150,1,Ready To Move
Hiranandani Regent Hill,Hiranandani,175,1,Ready To Move
Nice View,Subhash,135,1,Ready To Move
Shyam Gokul Garden,Thakur,107,1,Ready To Move
xyz,Sion,200,1,Ready To Move
AHIMSA TERRACE,Malad,125,1,Ready To Move
AP Panchvati B,Powai,135,1,Ready To Move
xyz,Chembur,130,1,Ready To Move
Shreyaan Heights,Charkop,98.56,1,Under Construction
Swayam Niketan,Dahisar,59,1,Under Construction
Srishti Panch Srishti,Powai,135,1,Ready To Move
Maruti Residency,IC,103,1,Under Construction
Mandovi Apartment,Chedda,90.5,1,Ready To Move
Gurukrupa Marina Enclave,Malad,111,1,Ready To Move
Godrej Nest,Kandivali,120,1,Under Construction
Cementers Tavisa,Malad,109,1,Under Construction
Sheth Vasant Oasis,Marol,150,1,Ready To Move
Ashok Vihar,Marol,115,1,Ready To Move
The Baya Goldspot,Andheri,125,1,Ready To Move
Deepak Daffodils,Marol,115,1,Ready To Move
Ashar Maple,Vaishali,110,1,Ready To Move
Shrishti Marshall,Bhandup,74,1,Under Construction
Highland Park,Mulund,80,1,Ready To Move
The Kaveri Heights,Ghatkopar,87,1,Under Construction
"The Sayba Elegant, Kurla East",Kurla,87,1,Under Construction
Sonal Heights,Kurla,99,1,Under Construction
The rubberwala 7th avenue,Byculla,120,1,Under Construction
The Hware Ipsa,Ghatkopar,97.1,1,Ready To Move
Ayodhya Saffron Residency,Nehru,91,1,Ready To Move
The Safal Sainath,Chembur,83,1,Under Construction
Hiranandani Regent Hill,Hiranandani,163,1,Ready To Move
Mayfair Hillcrest,Vikhroli,122,1,Ready To Move
Yogi Hills,Mulund,100,1,Ready To Move
Mahavir Mulund Ketki,Mulund,105,1,Under Construction
T Square,Mulund,113,1,Under Construction
Trimurthi chs ltd,Maharashtra,65,1,Ready To Move
SMGK URBANA,Jogeshwari,119,1,Under Construction
"PRIYAMVADHA Co-op. Hsg.  Soc. Ltd.,",Vaithara,91,1,Ready To Move
Micro Srishti,Bhandup,90,1,Ready To Move
Joy Homes CHS,LBS,115,1,Ready To Move
Platinum Casa millennia,DN,132,1,Under Construction
Dem Swashraya,Juhu,130,1,Under Construction
elanza rakshi,Chakala,95,1,Under Construction
Godrej Urban Park,Chandivali,136,1,Under Construction
Roswalt Zaiden,Oshiwara,85,1,Under Construction
Romell Orbis,Sher,113,1,Ready To Move
Arkade Prime,Andheri,112,1,Under Construction
Samarth Enclave,Sher,97,1,Ready To Move
Aim Horizon,Mogra,91,1,Under Construction
Aim Paradise,Jogeshwari,96,1,Under Construction
Aim Horizon,Mogra,104,1,Under Construction
Passcode Limelight,Andheri,135,1,Under Construction
Rohinton Alankar VYBE,Andheri,120,1,Under Construction
Umar Park,Jp,136,1,Under Construction
Metro Devbhoomi,Jogeshwari,125,1,Under Construction
Metro Devbhoomi,Jogeshwari,145,1,Under Construction
Roswalt Zaiden,Oshiwara,88,1,Under Construction
SD Siennaa,Thakur,130,1,Under Construction
UK Iona,Jogeshwari,92,1,Under Construction
MERU TOWER,Lal,285,1,Ready To Move
Shree Sammet Shikhar Heights,Grant,225,1,Ready To Move
Surya Gokul Heaven,Thakur,110,1,Ready To Move
Runwal Bliss,Kanjurmarg,160,1,Ready To Move
Aishwarya Heights,Mulund,135,1,Ready To Move
Valencia Apartment,Wadala,118,1,Ready To Move
Saraswati Square,Mulund,112,1,Under Construction
vasant smruti,Thakur,105,1,Ready To Move
Swastik Divine,Mulund,125,1,Under Construction
Dattani Priti Vihar and Leslie Villas,Kandivali,106,1,Ready To Move
Evershine Phase 4,Kandivali,95,1,Ready To Move
Sheth Vasant Oasis,Marol,145,1,Ready To Move
Oxford Dreamscape,Siddharth,110,1,Under Construction
JP Infra Codname Highway Touch,Jogeshwari,104,1,Under Construction
JP Infra Codname Highway Touch,Jogeshwari,95,1,Under Construction
Integrated Ramicon,Goregaon,107,1,Under Construction
Vivant Kalpataru,JVLR,105,1,Under Construction
Zee Bliss,DN,125,1,Under Construction
sardar inspire residency,Andheri,96,1,Under Construction
Paranjape Aspire,4,130,1,Under Construction
Swaminarayan Dham,Jari,98,1,Under Construction
Ranbir Heights,Andheri,109,1,Under Construction
Aditi Shristi Residency,Jogeshwari,83,1,Under Construction
Naman Premier,Marol,125,1,Under Construction
HDIL Dreams,Dina,122,1,Ready To Move
HDIL Dreams,Dina,118,1,Ready To Move
Pinewood Apartment,Mulund,105,1,Ready To Move
